Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,A5.fcs,A5,Experiment,None,,High_ROS,BL1-H,,5963,59,101.068,9.225,19.877,1265,N/A,1182,N/A,1013,N/A,661.36,N/A,52.27,N/A,176.43,N/A,14.93
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,A6.fcs,A6,Experiment,None,,High_ROS,BL1-H,,5889,58,101.534,9.077,19.63,1267,N/A,1180,N/A,1012,N/A,531.16,N/A,41.92,N/A,173.46,N/A,14.7
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,B5.fcs,B5,Experiment,None,,High_ROS,BL1-H,,4132,61,67.738,6.397,13.773,1286,N/A,1157,N/A,1013,N/A,1406.33,N/A,109.37,N/A,158.64,N/A,13.71
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,B6.fcs,B6,Experiment,None,,High_ROS,BL1-H,,4012,60,66.867,6.362,13.373,1257,N/A,1154,N/A,1012,N/A,681.16,N/A,54.19,N/A,151.23,N/A,13.1
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,C5.fcs,C5,Experiment,None,,High_ROS,BL1-H,,5331,53,100.585,8.112,17.77,1276,N/A,1170,N/A,1012,N/A,848.45,N/A,66.51,N/A,164.57,N/A,14.07
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,C6.fcs,C6,Experiment,None,,High_ROS,BL1-H,,5378,58,92.724,8.584,17.927,1276,N/A,1165,N/A,1035,N/A,883.58,N/A,69.23,N/A,160.12,N/A,13.74
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,D5.fcs,D5,Experiment,None,,High_ROS,BL1-H,,6841,57,120.018,10.283,22.803,1334,N/A,1183,N/A,1048,N/A,1263.63,N/A,94.73,N/A,183.84,N/A,15.54
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,D6.fcs,D6,Experiment,None,,High_ROS,BL1-H,,6711,49,136.959,10.305,22.37,1305,N/A,1184,N/A,1035,N/A,1740.95,N/A,133.39,N/A,174.95,N/A,14.78
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,E5.fcs,E5,Experiment,None,,High_ROS,BL1-H,,8514,82,103.829,14.307,28.38,1337,N/A,1202,N/A,1013,N/A,1904.14,N/A,142.41,N/A,195.7,N/A,16.28
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,E6.fcs,E6,Experiment,None,,High_ROS,BL1-H,,8690,79,110,14.537,28.967,1312,N/A,1205,N/A,1012,N/A,1294.04,N/A,98.66,N/A,195.7,N/A,16.24
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,F5.fcs,F5,Experiment,None,,High_ROS,BL1-H,,7398,85,87.035,11.08,24.66,1303,N/A,1194,N/A,1012,N/A,1354.71,N/A,103.94,N/A,189.77,N/A,15.89
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,F6.fcs,F6,Experiment,None,,High_ROS,BL1-H,,7704,79,97.519,12.851,25.68,1326,N/A,1202,N/A,1035,N/A,1385.42,N/A,104.48,N/A,195.7,N/A,16.28
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,G5.fcs,G5,Experiment,None,,High_ROS,BL1-H,,11300,86,131.395,18.525,37.667,18240,N/A,8745,N/A,1048,N/A,21618.9,N/A,118.52,N/A,11220.32,N/A,128.31
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,G6.fcs,G6,Experiment,None,,High_ROS,BL1-H,,9250,69,134.058,16.756,30.833,16236,N/A,8128,N/A,1035,N/A,18456.84,N/A,113.68,N/A,10354.48,N/A,127.39
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,H5.fcs,H5,Experiment,None,,High_ROS,BL1-H,,3416,51,66.98,5.445,11.387,1324,N/A,1154,N/A,1024,N/A,1506.22,N/A,113.76,N/A,149.74,N/A,12.98
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,H6.fcs,H6,Experiment,None,,High_ROS,BL1-H,,3780,51,74.118,5.79,12.6,1260,N/A,1154,N/A,1013,N/A,803.25,N/A,63.72,N/A,148.26,N/A,12.85
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,A3.fcs,A3,Experiment,None,,High_ROS,BL1-H,,7108,103,69.01,6.302,23.693,1309,N/A,1190,N/A,1012,N/A,1028.95,N/A,78.62,N/A,180.88,N/A,15.2
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,High_ROS,BL1-H,,4288,78,54.974,4.868,14.293,1389,N/A,1171,N/A,1013,N/A,3973.7,N/A,286.16,N/A,171.98,N/A,14.69
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,B3.fcs,B3,Experiment,None,,High_ROS,BL1-H,,13891,75,185.213,13.169,46.303,1392,N/A,1267,N/A,1035,N/A,1586.91,N/A,114.01,N/A,246.11,N/A,19.42
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,High_ROS,BL1-H,,13603,68,200.044,13.96,45.343,1388,N/A,1268,N/A,1036,N/A,2132.57,N/A,153.63,N/A,244.63,N/A,19.29
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,C3.fcs,C3,Experiment,None,,High_ROS,BL1-H,,14729,78,188.833,14.767,49.097,1458,N/A,1279,N/A,1013,N/A,3506.71,N/A,240.55,N/A,255.01,N/A,19.94
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,C4.fcs,C4,Experiment,None,,High_ROS,BL1-H,,14455,78,185.321,13.369,48.183,1459,N/A,1281,N/A,1024,N/A,3584.78,N/A,245.64,N/A,255.01,N/A,19.91
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,D3.fcs,D3,Experiment,None,,High_ROS,BL1-H,,15274,76,200.974,15.566,50.913,1445,N/A,1292,N/A,1013,N/A,2455.67,N/A,169.9,N/A,265.39,N/A,20.54
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,D4.fcs,D4,Experiment,None,,High_ROS,BL1-H,,15127,74,204.419,14.742,50.423,1473,N/A,1290,N/A,1012,N/A,2985.44,N/A,202.65,N/A,263.9,N/A,20.46
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,E3.fcs,E3,Experiment,None,,High_ROS,BL1-H,,17256,119,145.008,18.959,57.52,1534,N/A,1338,N/A,1012,N/A,3806.19,N/A,248.06,N/A,306.16,N/A,22.89
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,E4.fcs,E4,Experiment,None,,High_ROS,BL1-H,,17286,86,201,19.856,57.62,1481,N/A,1339,N/A,1059,N/A,1981.55,N/A,133.83,N/A,303.93,N/A,22.7
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,F3.fcs,F3,Experiment,None,,High_ROS,BL1-H,,16492,126,130.889,17.878,54.973,1584,N/A,1324,N/A,1048,N/A,3737.98,N/A,235.94,N/A,295.04,N/A,22.28
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,F4.fcs,F4,Experiment,None,,High_ROS,BL1-H,,13836,39,354.769,13.997,46.12,1451,N/A,1287,N/A,1035,N/A,2178.73,N/A,150.16,N/A,269.09,N/A,20.92
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,G3.fcs,G3,Experiment,None,,High_ROS,BL1-H,,27094,53,511.208,32.367,90.313,47528,N/A,30065,N/A,83281,N/A,51027.53,N/A,107.36,N/A,39059.1,N/A,129.92
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,G4.fcs,G4,Experiment,None,,High_ROS,BL1-H,,26922,56,480.75,32.193,89.74,49024,N/A,28995,N/A,79196,N/A,54581.13,N/A,111.33,N/A,38641.74,N/A,133.27
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,H3.fcs,H3,Experiment,None,,High_ROS,BL1-H,,4352,70,62.171,4.652,14.507,1615,N/A,1170,N/A,1012,N/A,5648.08,N/A,349.74,N/A,169.02,N/A,14.45
d032723-DCFCA-R8,DCFCA-DMSO,Cg-b1b2,H4.fcs,H4,Experiment,None,,High_ROS,BL1-H,,3773,51,73.98,3.397,12.577,1442,N/A,1152,N/A,1036,N/A,3662.56,N/A,254.02,N/A,149.74,N/A,13
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,A11.fcs,A11,Experiment,None,,High_ROS,BL1-H,,8806,139,63.353,8.516,29.353,1320,N/A,1212,N/A,1035,N/A,831.74,N/A,63,N/A,203.12,N/A,16.76
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,A12.fcs,A12,Experiment,None,,High_ROS,BL1-H,,6439,198,32.52,5.528,21.463,1403,N/A,1178,N/A,1012,N/A,2382.75,N/A,169.87,N/A,173.46,N/A,14.73
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,B11.fcs,B11,Experiment,None,,High_ROS,BL1-H,,7655,162,47.253,6.876,25.517,1512,N/A,1192,N/A,1036,N/A,2999.59,N/A,198.41,N/A,180.88,N/A,15.17
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,B12.fcs,B12,Experiment,None,,High_ROS,BL1-H,,7879,300,26.263,5.946,27.312,1679,N/A,1186,N/A,1013,N/A,5336.85,N/A,317.86,N/A,179.39,N/A,15.13
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,C11.fcs,C11,Experiment,None,,High_ROS,BL1-H,,9521,205,46.444,9.118,31.737,1509,N/A,1201,N/A,1036,N/A,4071.45,N/A,269.78,N/A,192.74,N/A,16.05
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,C12.fcs,C12,Experiment,None,,High_ROS,BL1-H,,9089,267,34.041,8.081,30.297,2873,N/A,1237,N/A,1012,N/A,6344.01,N/A,220.83,N/A,244.63,N/A,19.78
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,D11.fcs,D11,Experiment,None,,High_ROS,BL1-H,,9992,203,49.222,9.989,33.307,2947,N/A,1243,N/A,1013,N/A,7194.66,N/A,244.12,N/A,252.04,N/A,20.28
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,D12.fcs,D12,Experiment,None,,High_ROS,BL1-H,,12301,277,44.408,11.556,41.003,8656,N/A,1469,N/A,1082,N/A,13309.04,N/A,153.76,N/A,606.38,N/A,41.28
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,E11.fcs,E11,Experiment,None,,High_ROS,BL1-H,,20021,182,110.005,23.168,66.737,26091,N/A,26856,N/A,39305,N/A,20163.68,N/A,77.28,N/A,25693.46,N/A,95.67
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,E12.fcs,E12,Experiment,None,,High_ROS,BL1-H,,23981,262,91.531,22.691,79.937,30609,N/A,31258,N/A,39267,N/A,19947.53,N/A,65.17,N/A,21066.26,N/A,67.39
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,H11.fcs,H11,Experiment,None,,High_ROS,BL1-H,,7871,300,26.237,4.927,39.977,1826,N/A,1263,N/A,1013,N/A,5322.05,N/A,291.43,N/A,247.59,N/A,19.6
d032723-DCFCA-R8,DCFCA-DMSO,Sc-b1b2,H12.fcs,H12,Experiment,None,,High_ROS,BL1-H,,2551,300,8.503,3.098,31.65,2146,N/A,1228,N/A,1025,N/A,6982.31,N/A,325.33,N/A,231.29,N/A,18.83
